Date,Amount
1/2/2025,-683.72
1/2/2025,-54.87
1/2/2025,-466.29
1/2/2025,-869.81
1/2/2025,-12104.68
1/2/2025,40000
1/2/2025,180000
1/3/2025,-608.56
1/3/2025,-3124.65
1/3/2025,-2245
1/3/2025,-1561.18
1/3/2025,80000
1/6/2025,-758.72
1/6/2025,-304630.95
1/6/2025,-305.18
1/6/2025,-199.01
1/6/2025,60000
1/6/2025,100000
1/7/2025,-516.08
1/7/2025,-11356.88
1/7/2025,-872.86
1/7/2025,-28611
1/7/2025,-35759.9
1/7/2025,-43.05
1/7/2025,-171.34
1/7/2025,-9893.53
1/7/2025,1901.7
1/8/2025,-140.16
1/8/2025,-375.74
1/8/2025,-130.8
1/8/2025,-37.2
1/8/2025,-908.58
1/8/2025,-11792.82
1/9/2025,-861.8
1/9/2025,-100
1/9/2025,-1633.6
1/9/2025,-284.23
1/9/2025,-184.29
1/9/2025,-162.55
1/9/2025,-289.12
1/9/2025,150000
1/9/2025,150000
1/10/2025,-18.75
1/10/2025,-950.41
1/10/2025,-350
1/13/2025,-157.39
1/13/2025,-604.22
1/13/2025,-50
1/13/2025,-4361.1
1/13/2025,-1512
1/13/2025,-800
1/13/2025,-225.63
1/13/2025,-283.53
1/13/2025,-366.2
1/13/2025,-26.5
1/13/2025,-43.93
1/13/2025,-37.05
1/13/2025,-9292.66
1/14/2025,-44.15
1/14/2025,-4366.46
1/14/2025,-35901.66
1/14/2025,-3764.67
1/15/2025,-152
1/15/2025,-22.82
1/15/2025,-45.9
1/15/2025,-2115.05
1/15/2025,180000
1/16/2025,-21.69
1/16/2025,-972.85
1/16/2025,-12551.11
1/16/2025,-20.44
1/17/2025,-74.19
1/17/2025,-16.19
1/17/2025,-148.84
1/17/2025,-94.52
1/17/2025,-462.36
1/21/2025,-436.41
1/21/2025,-436.41
1/21/2025,-150.18
1/21/2025,-5550
1/21/2025,-437.19
1/21/2025,-965
1/21/2025,-228.18
1/21/2025,-180000
1/22/2025,-1865.6
1/22/2025,-189
1/22/2025,-133.46
1/22/2025,-438.84
1/22/2025,-293.65
1/22/2025,-3273.13
1/22/2025,-460.44
1/22/2025,-2512.78
1/22/2025,-105145.12
1/23/2025,-4938.31
1/23/2025,-2089
1/23/2025,-300
1/23/2025,-570.51
1/23/2025,-919.71
1/23/2025,-1807.86
1/23/2025,-100
1/23/2025,-1980
1/23/2025,-1229.25
1/23/2025,-138.08
1/23/2025,-22.25
1/23/2025,-3748.81
1/23/2025,-321.66
1/23/2025,-12885.87
1/23/2025,-999.8
1/24/2025,-293.17
1/24/2025,-292.74
1/24/2025,-246.07
1/24/2025,-4447.36
1/24/2025,-11742
1/27/2025,-258.68
1/27/2025,-1050
1/27/2025,-3211.63
1/27/2025,-3600
1/27/2025,-1049.54
1/27/2025,-427.01
1/27/2025,-17468
1/27/2025,60000
1/27/2025,150000
1/28/2025,-53750.96
1/28/2025,-431.35
1/28/2025,-16615.82
1/28/2025,-140.55
1/28/2025,-649
1/28/2025,-690
1/28/2025,-993.55
1/28/2025,-1151.5
1/28/2025,-8756
1/28/2025,-16478.63
1/29/2025,-133.46
1/29/2025,-826.63
1/29/2025,-2380
1/29/2025,-2772.96
1/29/2025,-13116.64
1/30/2025,-351.54
1/30/2025,-4042.68
1/30/2025,-920.7
1/30/2025,-39274.89
1/30/2025,-12232.95
1/30/2025,24084.26
1/31/2025,-191.22
1/31/2025,-492.5
1/31/2025,-3333
